Facility Information ,,,,,,No. Of Water Fountains,,Restroom Type,No. of Baby Changing Stations,No. of Showers,Cooling Center
Facility Name ,Facility Address,CD,Bathroom ONLY,Water ONLY,Combo: Bathroom + Water,Standard,Bottle Fillers ,Number of Restrooms,,,
Central Avenue Jazz Park ,"4222 South Central Avenue Los Angeles, CA 90011",9,,x,,1,,,,,
Chesterfield Square Park ,"1950 West 54th Street Los Angeles, CA 90064",8,,,x,1,,2,,,
Normandale Recreation Center ,"22400 South Halldale Avenue Torrance, CA 90501",15,,,x,3,1,6,,,
Normandie Recreation Center ,"1550 South Normandie Avenue Los Angeles, CA 90006",1,,,x,,1,4,5,1,
North Atwater Park ,"3900 Chevy Chase Drive Los Angeles, CA 90039",13,,,x,3,,2,,,
North Hills Community Park ,"8756 N Parthenia Place North Hills, CA 91343",6,,,x,,2,10,,,
North Hollywood Recreation Center ,"11430 Chandler Blvd. North Hollywood, CA 91601 ",2,,,x,15,3,11,,,
North Weddington Recreation Center ,"10844 Acama Street North Hollywood, CA 91602 ",2,,,x,5,1,7,,,
Northridge Park Child Care Center ,"18300 Lemarsh Street Northridge, CA 91324 ",12,x,,,,,4,,,
Northridge Park Recreation Center ,"18300 Lemarsh Street Northridge, CA 91324 ",12,,,x,12,,4,1,,
NYC #1 ,"Boy's Camp Road and Old Zoo Drive Los Angeles, CA 90027",4,,x,,1,,,,,
NYC #2,"Boy's Camp Road and Old Zoo Drive Los Angeles, CA 90027",4,,x,,1,,,,,
